Unnamed: 0,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
269,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,105.0,,9.5,353.0,C,25.0,1188.0,,50.0,,63.0,0.3523489932885906,,,
1446,Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,500.0,,8.9,358.0,T,25.0,1144.0,1205.0,6.4,,98.0,0.3859060402684564,,,
1478,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,10.8,,C,25.0,1369.0,,27.0,,,0.5201342281879194,,,
1486,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.7,,C,1000.0,721.0,,,,,0.42953020134228187,,,
1215,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20.0,860.0,,,,,0.39932885906040266,160.0,5.0,
962,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11.0,,C,1200.0,659.0,,,,,0.7013422818791947,,,
1005,Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,0.212,,8.7,,T,25.0,745.0,824.0,36.0,,223.0,0.714765100671141,,,
409,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,25.0,1620.0,,,,,0.5234899328859061,,,
402,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,300.0,411.0,,,,,0.6342281879194631,,,
1533,Cr1 Mo1 Ta1 Ti1,BCC,ANNEAL,BCC,,,9.9,555.0,,,,,,,,0.7348993288590604,,,
407,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,1000.0,116.0,,,,,0.5234899328859061,,,
333,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,400.0,790.0,,50.0,,,0.35906040268456374,,,
427,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,600.0,930.0,,,,,0.5704697986577181,92.0,,
916,Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,23.0,975.0,,,,,0.31543624161073824,,,
757,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,-196.0,1692.0,,10.3,,,0.738255033557047,,,
156,Al0.5 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.4,207.0,,25.0,,,,,,0.62751677852349,,,
1288,Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,504.5,C,25.0,1217.0,,7.5,3.8,,0.8389261744966443,,,
195,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,CAST,BCC,,,7.2,594.0,,25.0,,,,,,0.5838926174496645,,,
116,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790.0,,25.0,,,,,,0.43288590604026844,,,
1038,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,-70.0,350.0,,,28.8,,0.6778523489932886,,,
1484,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,1000.0,814.0,,,,,0.4597315436241611,,,
640,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,,FCC,53.0,,7.6,,T,25.0,260.0,620.0,87.0,,,0.7046979865771812,,,
253,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,200.0,,8.1,490.0,C,25.0,1965.0,2054.0,5.0,,,0.3691275167785235,,,
1190,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,300.0,314.0,,,,,0.4563758389261745,100.0,5.0,
931,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9.0,,C,1000.0,368.0,,,,,0.4228187919463087,,,
37,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512.0,,25.0,,,,,,0.5369127516778524,,,
423,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,600.0,1060.0,1170.0,3.0,,,0.5704697986577181,92.0,,
762,Al0.25 Cr0.417 Fe0.417 Ni1,FCC,CAST,FCC,,,7.3,,T,25.0,441.0,757.0,45.0,,,0.6577181208053692,,,
996,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.894,,8.1,,T,25.0,522.0,601.0,25.0,,182.0,0.6812080536912751,,,
1126,Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,C,800.0,303.0,,51.0,,,0.2986577181208054,,,
965,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1200.0,506.0,,,,,0.8389261744966443,,,
788,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-268.8,680.0,1251.0,61.6,,221.0,0.7583892617449665,,,
479,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,60.0,795.0,,,,,0.40939597315436244,,,
506,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153.0,1370.0,,,,,0.33557046979865773,,,
576,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,600.0,973.0,1590.0,,,,0.7013422818791947,,,
1201,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,200.0,868.0,,,,,0.6006711409395973,80.0,5.0,
281,Al1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,7.9,,C,25.0,993.0,,,,,0.40939597315436244,,,
59,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487.0,,25.0,,,,,,0.5100671140939598,,,
1234,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,800.0,85.0,,50.0,,,0.33557046979865773,,,
1436,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,,C,25.0,300.0,,50.2,,,0.6912751677852349,,,
957,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9.0,,C,1200.0,60.0,,,,,0.4228187919463087,,,
694,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,7.0,,8.0,,T,25.0,249.0,621.0,41.0,,,0.738255033557047,,,
909,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,23.0,929.0,,,,,0.35906040268456374,,,
343,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1000.0,842.0,,19.0,,,0.7684563758389261,,,
756,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.5,,8.0,,T,25.0,1120.0,,1.1,,,0.738255033557047,,,
1313,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.248,,8.0,,T,25.0,1241.81,1325.25,4.31,,,0.738255033557047,,,
1164,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,520.0,,,,,81.9,0.35906040268456374,,,
336,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,1000.0,295.0,,50.0,,,0.35906040268456374,,,
221,Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,FCC,CAST,FCC,,,8.4,192.0,T,25.0,,465.0,,18.0,,0.62751677852349,,,
197,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,CAST,BCC,,,7.2,587.0,,25.0,,,,,,0.5738255033557047,,,
1150,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,240.0,,,,,86.5,0.35906040268456374,,,
555,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25.0,820.0,869.0,,,,0.35906040268456374,,,
645,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,144.0,,7.6,,T,25.0,159.0,410.0,65.0,,,0.7046979865771812,,,
1541,Mo1 Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,11.8,482.0,,,,,,,,0.7449664429530202,,,
60,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,5.9,432.0,,25.0,,,,,,0.5369127516778524,,,
955,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6.0,,C,1200.0,100.0,,,,,0.6342281879194631,,,
483,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,25.0,845.0,,,,,0.40939597315436244,,,
1510,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,75.5,,9.9,,,,,,,,,0.35906040268456374,,,
939,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1000.0,548.0,,,,,0.8389261744966443,,,
1015,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,0.848,,8.1,,T,25.0,462.0,703.0,46.0,,240.0,0.7986577181208053,,,
1193,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,800.0,210.0,,,,,0.4563758389261745,100.0,5.0,
137,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,176.0,T,25.0,208.0,,62.0,,,0.738255033557047,,,
